math score,reading score,writing score,placement score,placement offer count,club join year
80,68,70,89,3,2019
71,61,85,91,3,2019
79,16,87,77,2,2018
61,77,74,76,2,2020
78,71,67,90,3,2019
73,68,90,80,2,2019
77,62,70,35,2,2020
74,45,80,12,1,2019
76,60,79,77,2,2020
75,65,85,87,3,2018
160,67,12,83,2,2020
79,72,88,180,2,2019
80,80,78,94,3,2021
78,69,71,90,3,2019
75,1,71,81,2,2019
78,62,79,93,3,2021
86,78,80,88,3,2019
80,74,23,76,2,2021
75,62,86,87,3,2019
82,70,87,94,3,2019
69,65,84,35,1,2018
100,77,70,91,3,2018
72,60,78,94,3,2019
74,65,71,84,2,2019
75,77,83,77,2,2020
180,67,63,75,3,2021
72,120,70,84,2,2021
71,79,88,85,3,2021
120,73,71,94,3,2019
